cidr,countrycode
149.18.21.0/24,PR
149.18.22.0/23,US
149.18.24.0/23,GB
149.18.26.0/24,NL
149.18.27.0/24,US
149.18.34.0/24,GB
149.18.36.0/23,US
149.18.38.0/24,NL
149.18.42.0/24,GB
149.18.44.0/24,US
149.18.45.0/24,JO
149.18.46.0/23,ES
149.18.48.0/23,US
149.18.50.0/23,BR
149.18.52.0/22,ES
149.18.56.0/21,US
149.18.72.0/24,AU
149.18.73.0/24,US
149.18.76.0/24,MA
149.18.77.0/24,US
149.18.78.0/24,UA
149.18.79.0/24,US
149.18.84.0/24,AU
149.18.85.0/24,RO
149.18.86.0/23,US
149.18.99.0/24,MA
149.18.100.0/23,US
149.18.102.0/23,BR
149.18.104.0/21,US
149.19.0.0/22,US
149.19.6.0/23,US
149.19.16.0/20,NZ
149.19.32.0/23,US
149.19.36.0/22,US
149.19.96.0/21,CA
149.19.104.0/21,US
149.19.156.0/23,RO
149.19.164.0/22,US
149.19.176.0/22,GB
149.19.180.0/22,US
149.19.196.0/24,GB
149.19.198.0/23,US
149.19.206.0/23,BR
149.19.208.0/20,US
149.20.72.0/21,US
149.20.126.0/23,GB
149.20.128.0/18,US
149.20.192.0/20,IL
149.20.208.0/20,US
149.20.232.0/21,US
149.22.0.0/18,GB
149.22.96.0/20,ES
149.22.112.0/22,GB
149.22.116.0/22,US
149.22.128.0/17,GB
149.23.0.0/16,US
149.24.60.0/23,IN
149.24.62.0/23,US
149.24.120.0/24,IE
149.24.121.0/24,US
149.24.229.0/24,NL
149.24.230.0/23,AE
149.24.232.0/21,US
149.27.0.0/16,KZ
149.28.8.0/21,US
149.29.64.0/18,HK
149.29.128.0/17,US
149.30.128.0/19,PH
149.30.160.0/19,HK
149.31.0.0/16,US
149.34.0.0/19,ES
149.34.48.0/21,US
149.34.56.0/21,ES
149.34.64.0/18,US
149.34.128.0/18,GB
149.34.192.0/19,TR
149.34.224.0/20,DE
149.34.240.0/21,GB
149.34.248.0/24,US
149.34.249.0/24,GB
149.35.0.0/16,US
149.36.0.0/23,GB
149.36.2.0/24,US
149.36.3.0/24,GB
149.36.4.0/24,US
149.36.5.0/24,GB
149.36.6.0/23,US
149.36.16.0/20,GB
149.36.32.0/21,US
149.36.41.0/24,GB
149.36.42.0/23,US
149.36.48.0/22,GB
149.36.52.0/22,US
149.36.56.0/21,DE
149.36.64.0/18,US
149.36.161.0/24,FR
149.36.162.0/23,US
149.36.196.0/23,ES
149.36.198.0/23,US
149.36.229.0/24,ES
149.36.230.0/23,US
149.36.232.0/22,ES
149.36.237.0/24,US
149.36.244.0/22,ES
149.36.248.0/21,US
149.37.1.0/24,US
149.37.200.0/24,US
149.38.0.0/16,US
149.40.0.0/16,US
149.43.0.0/16,US
149.46.0.0/16,US
149.48.160.0/20,US
149.48.190.0/23,US
149.48.223.0/24,US
149.50.0.0/19,GB
149.50.32.0/19,US
149.51.150.0/23,GB
149.51.152.0/21,US
149.54.1.0/24,AF
149.54.128.0/17,JP
149.55.24.0/22,US
149.56.0.0/16,FR
149.57.0.0/22,US
149.57.7.0/24,GB
149.57.8.0/24,US
149.57.9.0/24,MA
149.57.11.0/24,US
149.57.16.0/24,GB
149.57.17.0/24,US
149.57.19.0/24,BR
149.57.22.0/24,SC
149.57.23.0/24,US
149.57.26.0/23,DE
149.57.28.0/24,CA
149.57.29.0/24,GB
149.57.30.0/23,US
149.57.32.0/23,BR
149.57.34.0/23,US
149.57.37.0/24,US
149.57.52.0/22,US
149.57.112.0/21,US
149.57.192.0/19,US
149.58.0.0/16,US
149.61.0.0/16,US
149.62.0.0/19,RU
149.62.36.0/24,DE
149.62.37.0/24,CY
149.62.38.0/24,PA
149.62.39.0/24,CY
149.62.40.0/24,US
149.62.41.0/24,GB
149.62.42.0/24,US
149.62.43.0/24,NL
149.62.46.0/23,HK
149.62.48.0/21,RU
149.62.56.0/21,DE
149.62.64.0/18,SI
149.62.144.0/21,CZ
149.62.152.0/21,FR
149.62.160.0/21,RU
149.62.168.0/21,ES
149.62.184.0/21,IT
149.62.192.0/18,BG
149.63.0.0/16,GB
149.64.0.0/16,US
149.66.0.0/15,US
149.71.32.0/23,PK
149.71.34.0/23,US
149.71.36.0/22,PK
149.71.40.0/21,US
149.71.48.0/21,IT
149.71.56.0/22,US
149.71.60.0/22,FR
149.71.64.0/19,GB
149.71.96.0/21,US
149.71.104.0/21,GB
149.71.112.0/20,MY
149.71.128.0/19,GB
149.71.160.0/22,IE
149.71.164.0/22,US
149.71.168.0/21,ES
149.71.176.0/20,IN
149.71.192.0/22,US
149.71.196.0/22,IT
149.71.200.0/21,US
149.71.208.0/20,IT
149.71.224.0/22,US
149.71.228.0/22,GB
149.71.232.0/22,US
149.71.236.0/22,IT
149.71.240.0/20,US
149.72.1.0/24,US
149.72.19.0/24,US
149.72.112.0/20,US
149.74.0.0/16,ES
149.75.0.0/16,US
149.78.0.0/24,AR
149.78.1.0/24,BR
149.78.16.0/20,US
149.78.32.0/19,AR
149.78.64.0/20,BR
149.78.80.0/20,US
149.78.96.0/19,BR
149.78.128.0/23,US
149.78.130.0/23,AR
149.78.132.0/22,US
149.78.176.0/22,BR
149.78.180.0/23,US
149.78.182.0/23,BR
149.78.188.0/23,US
149.78.190.0/23,CL
149.78.192.0/19,BR
149.78.226.0/23,US
149.79.50.0/24,US
149.79.52.0/24,US
149.79.99.0/24,US
149.79.192.0/23,US
149.81.0.0/16,US
149.82.32.0/20,US
149.82.52.0/22,US
149.82.64.0/21,US
149.82.76.0/22,US
149.82.84.0/22,US
149.82.128.0/20,US
149.82.160.0/23,US
149.82.224.0/19,US
149.84.0.0/15,US
149.86.0.0/18,GB
149.86.64.0/19,US
149.86.96.0/21,GB
149.86.104.0/21,FI
149.86.112.0/20,DE
149.86.128.0/19,US
149.86.172.0/22,FR
149.86.176.0/20,GB
149.86.192.0/19,IT
149.86.224.0/22,PL
149.86.228.0/22,IT
149.86.232.0/21,FI
149.86.240.0/20,GB
149.87.0.0/16,US
149.89.0.0/16,US
149.90.0.0/16,PT
149.91.0.0/24,US
149.91.1.0/24,BG
149.91.2.0/23,US
149.91.4.0/24,FR
149.91.5.0/24,ES
149.91.8.0/21,US
149.91.80.0/22,FR
149.91.84.0/24,VG
149.91.85.0/24,US
149.91.87.0/24,FR
149.91.92.0/24,ES
149.91.93.0/24,US
149.91.96.0/19,ES
149.91.128.0/21,US
149.91.138.0/24,DE
149.91.139.0/24,US
149.91.160.0/19,ES
149.91.192.0/18,US
149.96.5.0/24,US
149.96.10.0/23,US
149.96.13.0/24,US
149.96.16.0/20,US
149.96.88.0/21,US
149.96.112.0/20,US
149.96.144.0/20,US
149.96.224.0/19,US
149.97.4.0/24,US
149.97.16.0/24,US
149.97.18.0/23,US
149.97.24.0/24,US
149.97.26.0/23,US
149.97.40.0/24,US
149.97.48.0/21,US
149.97.66.0/24,US
149.97.96.0/24,US
149.97.98.0/23,US
149.97.106.0/24,US
149.97.115.0/24,US
149.97.124.0/22,US
149.99.0.0/16,CA
149.100.0.0/23,ES
149.100.2.0/23,US
149.100.24.0/21,ES
149.100.32.0/19,US
149.100.128.0/23,FR
149.100.130.0/23,US
149.100.133.0/24,NL
149.100.134.0/23,US
149.100.136.0/24,FR
149.100.137.0/24,US
149.100.161.0/24,IT
149.100.165.0/24,US
149.100.166.0/23,IT
149.100.184.0/21,US
149.101.1.0/24,US
149.101.17.0/24,US
149.101.21.0/24,US
149.101.25.0/24,US
149.101.29.0/24,US
149.101.32.0/24,US
149.101.40.0/24,US
149.101.45.0/24,US
149.101.47.0/24,US
149.101.50.0/23,US
149.101.57.0/24,US
149.101.68.0/22,US
149.101.92.0/22,US
149.101.100.0/22,US
149.101.107.0/24,US
149.101.111.0/24,US
149.101.118.0/24,US
149.101.127.0/24,US
149.101.150.0/23,US
149.101.160.0/22,US
149.101.180.0/22,US
149.101.192.0/22,US
149.101.207.0/24,US
149.101.216.0/24,US
149.101.218.0/24,US
149.101.222.0/24,US
149.101.226.0/24,US
149.101.228.0/23,US
149.101.242.0/24,US
149.102.0.0/18,GB
149.102.64.0/19,BR
149.102.96.0/20,MO
149.102.112.0/20,ES
149.102.128.0/19,DE
149.102.160.0/19,GB
149.102.231.0/24,US
149.103.10.0/24,US
149.104.0.0/17,US
149.104.144.0/20,SG
149.104.168.0/21,US
149.104.176.0/20,SG
149.104.192.0/18,US
149.106.96.0/19,US
149.106.128.0/19,IL
149.106.160.0/19,GB
149.106.224.0/19,IL
149.107.0.0/16,US
149.108.0.0/16,ID
149.109.0.0/16,SA
149.110.0.0/16,ID
149.111.12.0/24,US
149.111.21.0/24,US
149.111.26.0/23,US
149.111.128.0/19,US
149.111.192.0/19,US
149.112.2.0/24,CO
149.112.4.0/24,US
149.112.12.0/24,US
149.112.112.0/24,CH
149.112.121.0/24,CA
149.112.149.0/24,CH
149.112.152.0/22,US
149.113.0.0/16,ID
149.115.0.0/17,US
149.115.208.0/20,CA
149.115.224.0/19,US
149.117.1.0/24,US
149.117.4.0/24,US
149.117.7.0/24,US
149.117.9.0/24,CA
149.117.11.0/24,CA
149.117.15.0/24,US
149.117.18.0/23,US
149.117.24.0/23,US
149.117.30.0/24,US
149.117.51.0/24,US
149.117.56.0/23,US
149.117.64.0/24,US
149.117.66.0/23,US
149.117.72.0/21,US
149.117.87.0/24,US
149.117.129.0/24,US
149.117.130.0/24,GB
149.117.131.0/24,US
149.117.138.0/24,US
149.117.146.0/24,US
149.117.157.0/24,US
149.117.159.0/24,US
149.117.165.0/24,US
149.117.192.0/24,IN
149.117.216.0/23,US
149.117.222.0/24,IN
149.119.0.0/16,US
149.120.114.0/24,US
149.120.233.0/24,US
149.122.19.0/24,US
149.122.96.0/24,US
149.122.98.0/23,US
149.122.108.0/23,US
149.123.0.0/16,US
149.125.0.0/16,US
149.126.0.0/21,CH
149.126.8.0/21,ES
149.126.16.0/21,RU
149.126.24.0/21,HU
149.126.32.0/20,ES
149.126.48.0/21,CH
149.126.64.0/22,DE
149.126.70.0/24,DE
149.126.72.0/21,US
149.126.80.0/21,IS
149.126.88.0/21,US
149.126.96.0/21,RU
149.126.104.0/21,GB
149.126.106.0/23,US
149.126.108.0/22,GB
149.126.112.0/20,AZ
149.126.128.0/19,SI
149.126.160.0/21,ES
149.126.168.0/21,RU
149.126.176.0/21,FI
149.126.184.0/21,DE
149.126.192.0/24,CN
149.126.193.0/24,US
149.126.194.0/24,MD
149.126.195.0/24,US
149.126.196.0/24,MD
149.126.198.0/24,US
149.126.199.0/24,MD
149.126.200.0/22,US
149.126.207.0/24,CN
149.126.208.0/24,US
149.126.209.0/24,MD
149.126.210.0/24,US
149.126.211.0/24,MD
149.126.213.0/24,US
149.126.216.0/21,RU
149.126.224.0/23,US
149.126.227.0/24,MD
149.126.228.0/24,US
149.126.231.0/24,US
149.126.232.0/21,RU
149.126.240.0/23,MD
149.126.242.0/24,US
149.126.244.0/22,US
149.126.254.0/24,US
149.127.0.0/17,US
149.127.128.0/19,HK
149.127.160.0/21,US
149.127.168.0/21,HK
149.127.212.0/24,US
149.127.213.0/24,TW
149.127.214.0/23,HK
149.127.216.0/23,US
149.127.218.0/23,HK
149.127.221.0/24,US
149.127.224.0/21,HK
149.127.234.0/23,US
149.127.236.0/22,HK
149.127.240.0/22,SG
149.127.244.0/22,US
149.128.8.0/21,US
149.128.32.0/22,US
149.128.42.0/24,US
149.128.255.0/24,US
149.129.0.0/20,CN
149.129.32.0/19,CN
149.130.0.0/17,US
149.131.76.0/24,US
149.132.0.0/16,IT
149.133.4.0/23,CH
149.134.144.0/23,BE
149.134.148.0/24,BE
149.134.152.0/24,BE
149.134.156.0/23,BE
149.134.168.0/24,BE
149.134.170.0/23,BE
149.134.173.0/24,US
149.134.174.0/24,BE
149.134.175.0/24,US
149.134.177.0/24,BE
149.135.0.0/16,AU
149.136.0.0/16,US
149.137.68.0/22,US
149.137.128.0/21,US
149.137.142.0/23,US
149.138.25.0/24,US
149.139.0.0/16,IT
149.140.0.0/16,TR
149.142.0.0/16,US
149.143.0.0/17,NL
149.143.128.0/17,US
149.144.0.0/16,AU
149.146.0.0/16,NL
149.147.0.0/16,KW
149.148.0.0/16,AT
149.149.0.0/16,US
149.150.48.0/21,US
149.150.200.0/24,US
149.150.236.0/22,US
149.150.253.0/24,US
149.151.0.0/16,US
149.152.96.0/24,US
149.152.112.0/20,US
149.153.0.0/16,IE
149.154.0.0/18,US
149.154.64.0/21,RU
149.154.72.0/21,DE
149.154.80.0/21,FR
149.154.88.0/21,IT
149.154.96.0/22,AT
149.154.103.0/24,FR
149.154.104.0/21,RU
149.154.120.0/21,FI
149.154.128.0/20,RU
149.154.144.0/21,DE
149.154.152.0/22,AT
149.154.157.0/24,RO
149.154.160.0/20,VG
149.154.184.0/22,HN
149.154.190.0/23,KZ
149.154.192.0/18,BE
149.155.0.0/16,GB
149.156.0.0/16,PL
149.157.0.0/16,IE
149.158.240.0/22,US
149.159.0.0/16,US
149.167.0.0/16,AU
149.168.0.0/15,US
149.170.0.0/16,GB
149.171.0.0/16,AU
149.172.0.0/16,DE
149.173.0.0/16,US
149.175.0.0/16,US
149.176.112.0/24,AU
149.176.116.0/24,AU
149.176.172.0/24,AU
149.176.221.0/24,AU
149.176.223.0/24,AU
149.176.225.0/24,AU
149.176.244.0/24,AU
149.176.246.0/24,AU
149.176.248.0/24,AU
149.176.250.0/23,AU
149.177.192.0/22,GB
149.177.212.0/22,GB
149.177.224.0/21,GB
149.182.216.0/23,US
149.184.142.0/23,US
149.184.160.0/20,US
149.184.224.0/19,US
149.185.136.0/24,US
149.185.200.0/24,US
149.189.160.0/20,US
149.189.192.0/21,US
149.195.58.0/23,US
149.197.0.0/16,FI
149.199.0.0/16,US
149.200.0.0/17,HU
149.200.128.0/17,JO
149.201.0.0/16,DE
149.202.0.0/16,FR
149.203.0.0/16,DE
149.204.190.0/24,FI
149.205.0.0/16,DE
149.208.250.0/23,DE
149.209.0.0/16,NO
149.210.0.0/17,GR
149.210.128.0/17,NL
149.211.0.0/16,DE
149.212.255.0/24,DK
149.214.0.0/15,DE
149.223.0.0/16,GB
149.224.0.0/16,DE
149.225.0.0/16,US
149.226.192.0/21,SG
149.226.252.0/24,DE
149.227.0.0/16,US
149.232.0.0/17,DE
149.232.160.0/20,FR
149.232.190.0/23,DE
149.232.244.0/22,DE
149.234.0.0/21,US
149.234.8.0/21,DE
149.234.128.0/19,SG
149.234.186.0/24,IN
149.234.187.0/24,AU
149.234.188.0/24,SG
149.234.189.0/24,AU
149.234.190.0/24,SG
149.234.191.0/24,IN
149.234.192.0/19,US
149.234.224.0/23,AR
149.234.226.0/23,US
149.234.232.0/23,US
149.234.240.0/21,US
149.234.250.0/24,US
149.235.0.0/21,CA
149.235.8.0/23,NL
149.235.10.0/23,CA
149.235.32.0/22,NL
149.235.36.0/23,CA
149.235.38.0/23,US
149.235.48.0/21,CA
149.235.56.0/21,US
149.235.224.0/21,CA
149.235.232.0/21,US
149.235.241.0/24,CA
149.235.242.0/23,US
149.235.254.0/24,CA
149.235.255.0/24,US
149.236.0.0/16,DE
149.237.200.0/22,DE
149.237.250.0/23,DE
149.238.0.0/18,DE
149.238.64.0/18,US
149.238.160.0/19,DE
149.241.0.0/16,GB
149.242.0.0/16,DE
149.243.232.0/22,DE
149.243.242.0/23,DE
149.244.0.0/16,DE
149.247.176.0/23,NL
149.247.182.0/24,NL
149.248.0.0/18,US
149.248.72.0/21,CA
149.248.128.0/19,US
149.248.170.0/23,CA
149.248.192.0/18,US
149.249.0.0/21,GB
149.249.8.0/21,DE
149.249.64.0/18,DE
149.249.196.0/22,DE
149.249.212.0/22,DE
149.249.224.0/19,DE
149.253.0.0/16,US
149.254.0.0/17,GB
149.254.251.0/24,US
149.254.252.0/22,GB
149.255.0.0/19,RU
149.255.32.0/21,US
149.255.42.0/24,GB
149.255.48.0/21,CH
149.255.56.0/21,GB
149.255.64.0/19,CZ
149.255.96.0/20,GB
149.255.112.0/21,RU
149.255.120.0/21,GB
149.255.132.0/22,RU
149.255.136.0/21,FR
149.255.144.0/20,AZ
149.255.168.0/21,GB
149.255.176.0/21,LI
149.255.184.0/21,GB
149.255.192.0/18,IQ
150.3.96.0/24,JP
150.3.112.0/22,JP
150.3.128.0/21,JP
150.5.0.0/16,JP
150.7.0.0/16,JP
150.9.0.0/17,JP
150.9.254.0/23,JP
150.11.0.0/16,JP
150.14.52.0/22,JP
150.15.0.0/16,JP
150.18.0.0/15,JP
150.22.0.0/22,JP
150.23.0.0/16,JP
150.26.0.0/15,JP
150.29.0.0/16,JP
150.35.0.0/16,JP
150.37.0.0/16,JP
150.41.0.0/16,JP
150.46.0.0/15,JP
150.52.0.0/16,JP
150.54.0.0/15,JP
150.57.0.0/16,JP
150.59.0.0/16,JP
150.61.4.0/23,JP
150.61.8.0/24,JP
150.61.13.0/24,JP
150.61.17.0/24,JP
150.61.31.0/24,JP
150.61.33.0/24,JP
150.61.35.0/24,JP
150.61.41.0/24,JP
150.61.46.0/24,JP
150.61.49.0/24,JP
150.61.53.0/24,JP
150.61.57.0/24,JP
150.61.64.0/18,JP
150.63.0.0/16,JP
150.65.0.0/16,JP
150.69.0.0/16,JP
150.70.0.0/20,US
150.70.48.0/20,US
150.70.80.0/20,US
150.70.110.0/24,US
150.70.176.0/20,US
150.70.224.0/20,US
150.71.0.0/16,JP
150.82.0.0/15,JP
150.86.0.0/15,JP
150.89.0.0/16,JP
150.91.246.0/23,JP
150.93.0.0/16,JP
150.95.8.0/21,JP
150.95.16.0/22,VN
150.95.20.0/22,SG
150.95.29.0/24,SG
150.95.32.0/19,JP
150.95.64.0/19,SG
150.95.104.0/21,VN
150.95.128.0/17,JP
150.97.0.0/16,JP
150.99.0.0/16,JP
150.101.0.0/16,AU
150.104.0.0/16,US
150.105.18.0/23,CA
150.105.30.0/24,CA
150.105.48.0/20,CA
150.105.78.0/23,CA
150.105.81.0/24,CA
150.105.89.0/24,CA
150.105.98.0/23,CA
150.105.102.0/24,CA
150.105.104.0/23,CA
150.105.110.0/24,CA
150.105.112.0/21,CA
150.105.120.0/21,NL
150.105.132.0/24,CA
150.105.144.0/20,CA
150.105.172.0/24,CA
150.105.178.0/24,CA
150.105.184.0/21,CA
150.105.204.0/24,CA
150.105.210.0/24,CA
150.105.216.0/21,CA
150.106.0.0/16,NO
150.107.1.0/24,HK
150.107.4.0/22,KH
150.107.8.0/22,IN
150.107.16.0/21,IN
150.107.28.0/22,TH
150.107.32.0/22,NZ
150.107.40.0/22,IN
150.107.44.0/22,HK
150.107.50.0/24,BD
150.107.52.0/24,BD
150.107.54.0/24,BD
150.107.56.0/21,TW
150.107.72.0/22,AU
150.107.76.0/22,MY
150.107.84.0/22,KR
150.107.88.0/21,IN
150.107.103.0/24,IN
150.107.104.0/23,ID
150.107.106.0/23,NP
150.107.108.0/22,ID
150.107.112.0/21,IN
150.107.123.0/24,IN
150.107.125.0/24,LU
150.107.132.0/22,ID
150.107.144.0/22,IN
150.107.148.0/22,ID
150.107.152.0/22,SG
150.107.156.0/22,MY
150.107.160.0/22,NZ
150.107.164.0/22,IN
150.107.168.0/22,SG
150.107.172.0/22,NZ
150.107.176.0/20,IN
150.107.204.0/22,NP
150.107.210.0/24,IN
150.107.212.0/22,IN
150.107.220.0/22,TH
150.107.224.0/23,AU
150.107.227.0/24,LT
150.107.228.0/22,IN
150.107.244.0/22,ID
150.107.252.0/22,IN
150.108.0.0/16,US
150.109.0.0/21,CN
150.109.14.19/32,VN
150.109.14.20/30,CN
150.111.0.0/16,US
150.112.64.0/18,US
150.113.0.0/16,US
150.116.2.0/23,US
150.116.6.0/23,TW
150.116.9.0/24,SG
150.116.16.0/20,TW
150.116.56.0/22,TW
150.116.64.0/20,TW
150.116.82.0/24,US
150.116.83.0/24,TW
150.116.92.0/22,US
150.116.96.0/20,TW
150.116.116.0/24,TW
150.116.118.0/24,TW
150.116.120.0/21,TW
150.117.128.0/17,TW
150.118.0.0/15,US
150.125.0.0/16,US
150.128.0.0/16,ES
150.129.0.0/22,IN
150.129.4.0/22,PK
150.129.8.0/22,NL
150.129.16.0/23,BD
150.129.18.0/24,ID
150.129.19.0/24,IN
150.129.20.0/22,KH
150.129.24.0/21,IN
150.129.34.0/23,HK
150.129.36.0/22,TW
150.129.40.0/22,HK
150.129.44.0/22,IN
150.129.56.0/22,ID
150.129.60.0/22,IN
150.129.69.0/24,MY
150.129.72.0/22,TW
150.129.78.0/23,HK
150.129.84.0/22,AU
150.129.88.0/21,IN
150.129.100.0/22,IN
150.129.118.0/23,IN
150.129.136.0/22,CN
150.129.140.0/22,MN
150.129.144.0/21,IN
150.129.152.0/24,HK
150.129.154.0/23,HK
150.129.156.0/22,IN
150.129.162.0/24,ID
150.129.164.0/22,IN
150.129.175.0/24,IN
150.129.184.0/23,MY
150.129.188.0/22,ID
150.129.192.0/22,CN
150.129.196.0/22,IN
150.129.208.0/22,HK
150.129.216.0/24,SG
150.129.217.0/24,CN
150.129.218.0/24,US
150.129.219.0/24,HK
150.129.220.0/22,BD
150.129.228.0/22,TW
150.129.232.0/24,IN
150.129.233.0/24,US
150.129.236.0/22,IN
150.129.240.0/24,US
150.129.241.0/24,IN
150.129.242.0/24,US
150.129.243.0/24,IN
150.129.252.0/22,CN
150.130.0.0/18,US
150.130.112.0/22,IL
150.130.116.0/22,US
150.130.122.0/23,US
150.130.136.0/21,US
150.130.148.0/22,US
150.130.160.0/20,US
150.131.0.0/16,US
150.138.0.0/15,CN
150.140.0.0/16,GR
150.142.0.0/16,US
150.143.0.0/16,GB
150.144.0.0/16,US
150.145.0.0/16,IT
150.147.0.0/16,JP
150.148.0.0/15,US
150.150.0.0/16,KR
150.152.0.0/14,US
150.158.0.0/16,CN
150.160.0.0/16,US
150.161.0.0/16,BR
150.167.0.0/16,US
150.169.12.0/24,US
150.169.14.0/23,US
150.169.32.0/24,US
150.169.96.0/24,US
150.171.0.0/16,US
150.173.0.0/16,AU
150.174.0.0/16,US
150.176.6.0/24,US
150.176.8.0/22,US
150.176.37.0/24,US
150.176.45.0/24,US
150.176.47.0/24,US
150.176.63.0/24,US
150.176.65.0/24,US
150.176.68.0/24,US
150.176.93.0/24,US
150.176.99.0/24,US
150.176.101.0/24,US
150.176.114.0/24,US
150.176.119.0/24,US
150.176.139.0/24,US
150.176.142.0/24,US
150.176.145.0/24,US
150.176.153.0/24,US
150.176.163.0/24,US
150.176.165.0/24,US
150.176.169.0/24,US
150.176.171.0/24,US
150.176.174.0/23,US
150.176.191.0/24,US
150.176.201.0/24,US
150.176.208.0/24,US
150.176.228.0/23,US
150.176.248.0/22,US
150.177.0.0/16,US
150.178.0.0/16,IT
150.179.0.0/16,US
150.181.27.0/24,US
150.181.91.0/24,US
150.181.110.0/23,US
150.182.0.0/16,US
150.183.0.0/16,KR
150.184.0.0/16,US
150.185.128.0/18,VE
150.185.222.0/24,VE
150.186.32.0/19,VE
150.186.96.0/19,VE
150.189.72.0/23,VE
150.190.0.0/16,US
150.191.0.0/16,AU
150.192.0.0/15,US
150.195.69.0/24,US
150.195.78.0/23,US
150.195.193.0/24,IL
150.195.196.0/22,IL
150.195.208.0/24,IL
150.195.224.0/20,US
150.196.0.0/21,US
150.196.9.0/24,US
150.196.12.0/22,US
150.196.130.0/23,US
150.196.133.0/24,US
150.196.164.0/22,US
150.196.174.0/23,US
150.196.192.0/21,US
150.196.204.0/22,US
150.196.250.0/24,US
150.196.252.0/22,US
150.197.0.0/16,KR
150.198.60.0/22,US
150.198.120.0/24,US
150.198.122.0/23,US
150.198.204.0/22,US
150.199.0.0/16,US
150.203.0.0/16,AU
150.204.0.0/16,GB
150.206.0.0/16,NZ
150.207.0.0/16,AU
150.208.0.0/17,US
150.208.192.0/18,US
150.214.0.0/16,ES
150.216.0.0/16,US
150.217.0.0/16,IT
150.218.0.0/15,US
150.221.64.0/20,US
150.221.128.0/17,US
150.223.0.0/16,CN
150.224.0.0/22,US
150.224.64.0/23,US
150.224.68.0/23,US
150.224.72.0/22,US
150.226.0.0/16,US
150.228.30.0/23,US
150.228.92.0/24,SG
150.228.101.0/24,IN
150.228.103.0/24,IN
150.229.0.0/17,AU
150.230.0.0/15,US
150.236.0.0/16,US
150.237.0.0/16,GB
150.238.0.0/15,US
150.241.0.0/16,ES
150.242.12.0/22,IN
150.242.32.0/22,AU
150.242.36.0/22,HK
150.242.40.0/22,NZ
150.242.60.0/22,IN
150.242.68.0/24,US
150.242.72.0/22,IN
150.242.80.0/22,CN
150.242.84.0/22,IN
150.242.88.0/22,CA
150.242.96.0/22,CN
150.242.100.0/23,TW
150.242.104.0/23,BD
150.242.108.0/22,TL
150.242.128.0/22,NZ
150.242.132.0/22,KR
150.242.136.0/22,AU
150.242.140.0/23,IN
150.242.142.0/23,US
150.242.144.0/22,KR
150.242.148.0/22,IN
150.242.156.0/22,CN
150.242.168.0/22,CN
150.242.172.0/22,IN
150.242.180.0/22,MY
150.242.184.0/22,CN
150.242.196.0/22,IN
150.242.204.0/22,IN
150.242.208.0/22,HK
150.242.213.0/24,HK
150.242.220.0/22,US
150.242.228.0/22,HK
150.242.232.0/22,CN
150.242.238.0/23,CN
150.242.248.0/22,CN
150.242.252.0/22,IN
150.243.0.0/16,US
150.244.0.0/16,ES
150.246.0.0/16,JP
150.249.0.0/16,JP
150.250.0.0/16,US
150.251.0.0/22,BE
150.252.0.0/17,US
150.252.208.0/20,US
150.252.224.0/20,IT
150.252.240.0/20,US
150.254.0.0/16,PL
150.255.0.0/16,CN
151.0.0.0/19,UA
151.0.36.0/22,UA
151.0.40.0/21,RU
151.0.52.0/22,UA
151.0.56.0/21,RU
151.0.64.0/18,HU
151.0.128.0/17,IT
151.2.128.0/17,GB
151.3.0.0/16,IT
151.5.88.0/22,AT
151.5.92.0/22,IT
151.80.0.0/16,FR
151.81.0.0/16,IT
151.86.0.0/16,IT
151.88.0.0/15,IT
151.91.32.0/20,IT
151.92.0.0/14,IT
151.99.0.0/16,IT
151.101.0.0/16,US
151.104.6.0/23,US
151.104.16.0/21,US
151.104.32.0/19,US
151.104.80.0/20,US
151.104.112.0/22,US
151.104.128.0/20,US
151.104.148.0/22,US
151.104.176.0/20,US
151.104.224.0/19,US
151.105.0.0/16,FI
151.106.0.0/18,DE
151.106.80.0/20,US
151.106.96.0/19,CY
151.106.128.0/19,US
151.106.193.0/24,GB
151.106.216.0/21,US
151.106.248.0/22,US
151.106.254.0/23,US
151.110.0.0/15,US
151.113.64.0/23,US
151.113.204.0/22,US
151.113.248.0/22,US
151.113.255.0/24,US
151.115.0.0/17,FR
151.116.186.0/24,US
151.116.188.0/24,US
151.116.193.0/24,US
151.118.0.0/23,US
151.118.18.0/24,US
151.118.56.0/22,US
151.118.127.0/24,US
151.118.192.0/22,US
151.118.254.0/23,US
151.121.0.0/16,US
151.122.128.0/20,US
151.122.176.0/21,US
151.122.208.0/21,US
151.122.232.0/24,US
151.123.64.0/19,US
151.123.132.0/24,US
151.124.32.0/21,US
151.124.47.0/24,US
151.124.104.0/23,US
151.124.109.0/24,US
151.124.128.0/18,US
151.124.224.0/19,US
151.127.0.0/16,FR
151.130.29.0/24,AU
151.130.33.0/24,AU
151.130.35.0/24,AU
151.130.37.0/24,AU
151.130.39.0/24,AU
151.130.43.0/24,AU
151.130.46.0/24,AU
151.130.49.0/24,AU
151.130.53.0/24,AU
151.132.0.0/16,US
151.133.0.0/17,GB
151.133.236.0/22,GB
151.135.0.0/16,TR
151.136.0.0/16,DE
151.137.148.0/22,US
151.137.220.0/22,US
151.137.246.0/23,US
151.138.0.0/16,US
151.139.18.0/23,US
151.139.23.0/24,US
151.139.104.0/21,US
151.139.130.0/24,US
151.139.176.0/23,US
