cidr,countrycode
2.57.81.0/24,RU
2.57.84.0/22,IT
2.57.88.0/22,CY
2.57.92.0/22,US
2.57.96.0/22,KZ
2.57.100.0/22,ES
2.57.104.0/22,AT
2.57.108.0/22,ES
2.57.112.0/22,UA
2.57.116.0/22,DE
2.57.120.0/23,GB
2.57.123.0/24,RO
2.57.124.0/22,TH
2.57.128.0/22,ES
2.57.132.0/22,PL
2.57.140.0/22,FR
2.57.148.0/24,GB
2.57.149.0/24,PL
2.57.150.0/24,UA
2.57.151.0/24,US
2.57.156.0/22,AT
2.57.160.0/22,DE
2.57.164.0/22,US
2.57.168.0/24,GB
2.57.169.0/24,CA
2.57.170.0/24,GB
2.57.171.0/24,BR
2.57.172.0/22,LU
2.57.176.0/22,IN
2.57.184.0/22,RU
2.57.188.0/22,TR
2.57.192.0/22,ES
2.57.196.0/24,GB
2.57.200.0/22,GB
2.57.204.0/22,UA
2.57.208.0/22,PL
2.57.212.0/22,MD
2.57.217.0/24,GE
2.57.222.0/23,EE
2.57.224.0/22,ES
2.57.228.0/22,IL
2.57.232.0/22,US
2.57.240.0/22,JP
2.57.244.0/22,SE
2.57.248.0/22,US
2.57.252.0/24,NL
2.57.253.0/24,FR
2.57.254.0/23,AT
2.58.0.0/24,SE
2.58.4.0/22,US
2.58.12.0/23,IN
2.58.14.0/23,US
2.58.16.0/22,LV
2.58.21.0/24,NL
2.58.24.0/22,NO
2.58.28.0/22,GB
2.58.32.0/22,LT
2.58.36.0/22,RO
2.58.40.0/23,TR
2.58.44.0/22,RO
2.58.48.0/22,SI
2.58.52.0/23,DE
2.58.54.0/24,US
2.58.55.0/24,DE
2.58.57.0/24,NL
2.58.64.0/23,US
2.58.68.0/22,RU
2.58.72.0/22,US
2.58.76.0/22,IN
2.58.80.0/23,US
2.58.82.0/24,DE
2.58.83.0/24,US
2.58.84.0/23,DE
2.58.86.0/24,CN
2.58.88.0/22,FI
2.58.92.0/24,BG
2.58.95.0/24,US
2.58.96.0/23,RU
2.58.99.0/24,NL
2.58.100.0/23,DE
2.58.103.0/24,US
2.58.108.0/22,NL
2.58.112.0/23,DE
2.58.114.0/24,AT
2.58.115.0/24,US
2.58.124.0/22,TR
2.58.128.0/22,IT
2.58.132.0/22,PS
2.58.136.0/22,IT
2.58.140.0/22,TR
2.58.148.0/22,US
2.58.160.0/22,GB
2.58.164.0/23,NL
2.58.168.0/22,HU
2.58.172.0/24,RO
2.58.173.0/24,GB
2.58.176.0/22,US
2.58.180.0/22,GB
2.58.184.0/22,IT
2.58.188.0/22,ES
2.58.192.0/22,GB
2.58.196.0/22,US
2.58.203.0/24,GB
2.58.204.0/22,UA
2.58.208.0/22,IT
2.58.212.0/22,NL
2.58.216.0/22,PL
2.58.220.0/22,FI
2.58.224.0/22,ES
2.58.232.0/22,LT
2.58.236.0/22,NL
2.58.240.0/22,TW
2.58.244.0/22,HK
2.58.252.0/22,US
2.59.0.0/23,RO
2.59.2.0/23,SG
2.59.4.0/22,IT
2.59.10.0/23,PL
2.59.12.0/22,RO
2.59.16.0/22,IT
2.59.20.0/23,NL
2.59.22.0/23,DE
2.59.24.0/23,GB
2.59.28.0/24,SE
2.59.29.0/24,DE
2.59.36.0/22,NL
2.59.40.0/22,RU
2.59.44.0/22,DE
2.59.48.0/22,RU
2.59.53.0/24,JO
2.59.56.0/24,US
2.59.57.0/24,IN
2.59.58.0/24,TR
2.59.59.0/24,LT
2.59.60.0/24,GB
2.59.62.0/24,US
2.59.63.0/24,HK
2.59.64.0/22,BE
2.59.68.0/22,FR
2.59.76.0/22,RU
2.59.84.0/22,DE
2.59.88.0/22,NL
2.59.92.0/22,ES
2.59.96.0/24,US
2.59.97.0/24,ZA
2.59.104.0/22,IE
2.59.108.0/22,ES
2.59.117.0/24,TR
2.59.118.0/24,US
2.59.119.0/24,TR
2.59.120.0/22,CH
2.59.124.0/22,ES
2.59.132.0/22,DE
2.59.136.0/22,BE
2.59.140.0/22,IT
2.59.144.0/22,FR
2.59.148.0/23,US
2.59.150.0/24,CY
2.59.151.0/24,US
2.59.153.0/24,HK
2.59.156.0/24,DE
2.59.158.0/23,DE
2.59.160.0/22,RU
2.59.164.0/22,EE
2.59.168.0/22,NL
2.59.172.0/22,AT
2.59.176.0/22,RU
2.59.180.0/24,US
2.59.181.0/24,TR
2.59.182.0/24,CN
2.59.183.0/24,NL
2.59.184.0/22,DK
2.59.188.0/22,FR
2.59.192.0/22,ES
2.59.196.0/22,HU
2.59.200.0/22,GB
2.59.208.0/22,SE
2.59.212.0/22,RU
2.59.220.0/22,CZ
2.59.228.0/22,IT
2.59.232.0/22,ES
2.59.236.0/22,FR
2.59.240.0/22,RU
2.59.244.0/22,ES
2.59.248.0/22,IT
2.60.0.0/14,RU
2.64.0.0/13,SE
2.72.0.0/14,KZ
2.78.32.0/21,KZ
2.78.47.0/24,KZ
2.78.128.0/17,KZ
2.80.0.0/14,PT
2.84.0.0/14,GR
2.88.0.0/14,SA
2.92.0.0/14,RU
2.96.0.0/13,GB
2.104.0.0/13,DK
2.112.0.0/13,IT
2.120.0.0/13,GB
2.128.0.0/14,DK
2.132.0.0/14,KZ
2.136.0.0/13,ES
2.144.0.0/16,IR
2.146.0.0/15,IR
2.148.0.0/14,NO
2.152.0.0/14,ES
2.160.0.0/12,DE
2.176.0.0/12,IR
2.192.0.0/13,IT
2.200.0.0/13,DE
2.216.0.0/13,GB
2.224.0.0/12,IT
2.240.0.0/13,DE
2.248.0.0/14,SE
2.255.190.0/23,US
2.255.192.0/18,SE
3.0.0.0/15,US
3.2.2.0/23,US
3.2.8.0/21,US
3.2.48.0/23,US
3.3.6.0/23,US
3.4.1.0/24,US
3.4.4.0/24,US
3.4.7.0/24,US
3.5.0.0/19,US
3.5.40.0/21,US
3.5.64.0/21,US
3.5.76.0/22,US
3.5.128.0/19,US
3.5.208.0/22,US
3.5.216.0/22,US
3.5.224.0/23,US
3.5.228.0/22,US
3.30.0.0/15,IE
3.33.34.0/23,US
3.33.44.0/22,US
3.33.128.0/17,US
3.64.0.0/11,US
3.101.0.0/16,US
3.104.0.0/13,US
3.120.0.0/13,US
3.208.0.0/12,US
3.248.0.0/13,US
4.35.69.0/24,KR
4.35.70.0/23,US
4.144.0.0/12,US
5.0.0.0/16,SY
5.1.0.0/19,UA
5.1.32.0/21,ES
5.1.40.0/24,US
5.1.41.0/24,RU
5.1.42.0/24,IT
5.1.44.0/24,IT
5.1.45.0/24,GB
5.1.47.0/24,RU
5.1.56.0/21,CZ
5.1.64.0/19,DE
5.1.96.0/21,CH
5.1.104.0/21,IQ
5.1.113.0/24,US
5.1.119.0/24,US
5.1.120.0/23,DE
5.1.127.0/24,DE
5.2.0.0/20,IT
5.2.16.0/21,GB
5.2.24.0/21,ES
5.2.32.0/19,RU
5.2.64.0/20,NL
5.2.80.0/21,TR
5.2.88.0/21,ES
5.2.96.0/19,GB
5.2.128.0/17,RO
5.3.0.0/21,RU
5.3.19.0/24,RU
5.3.23.0/24,RU
5.3.27.0/24,RU
5.3.31.0/24,RU
5.3.33.0/24,RU
5.3.37.0/24,RU
5.3.40.0/22,RU
5.3.47.0/24,RU
5.3.52.0/24,RU
5.3.54.0/23,RU
5.3.62.0/24,RU
5.3.64.0/20,RU
5.3.82.0/23,RU
5.3.87.0/24,RU
5.3.90.0/23,RU
5.3.96.0/19,RU
5.4.0.0/14,DE
5.8.0.0/21,EE
5.8.8.0/21,RU
5.8.16.0/24,EE
5.8.17.0/24,RU
5.8.18.0/24,SC
5.8.19.0/24,DE
5.8.20.0/22,UA
5.8.24.0/22,LU
5.8.28.0/22,RU
5.8.32.0/22,LU
5.8.36.0/22,RU
5.8.40.0/23,LU
5.8.42.0/23,RU
5.8.44.0/22,RO
5.8.48.0/21,RU
5.8.63.0/24,US
5.8.64.0/22,RU
5.8.68.0/22,LU
5.8.72.0/21,RU
5.8.88.0/22,EE
5.8.92.0/22,LU
5.8.96.0/19,IT
5.8.128.0/19,LB
5.8.160.0/20,RU
5.8.184.0/22,IT
5.8.190.0/23,IT
5.8.192.0/20,RU
5.8.212.0/22,RU
5.8.217.0/24,RU
5.8.240.0/21,IQ
5.8.248.0/24,NL
5.8.249.0/24,FR
5.8.251.0/24,GB
5.8.252.0/22,ES
5.9.0.0/16,DE
5.10.16.0/21,GB
5.10.27.0/24,GB
5.10.32.0/21,GE
5.10.40.0/21,DE
5.10.64.0/18,US
5.10.128.0/21,FR
5.10.136.0/22,CN
5.10.142.0/23,CN
5.10.144.0/20,GB
5.10.160.0/19,DE
5.10.192.0/24,NL
5.10.193.0/24,US
5.10.200.0/21,ES
5.10.208.0/21,DE
5.10.217.0/24,DE
5.10.224.0/21,IQ
5.10.235.0/24,US
5.10.244.0/22,AZ
5.10.252.0/22,US
5.11.0.0/21,AT
5.11.8.0/21,GB
5.11.19.0/24,IQ
5.11.21.0/24,GB
5.11.32.0/21,IT
5.11.40.0/21,PS
5.11.48.0/21,DE
5.11.56.0/22,FR
5.11.60.0/22,RU
5.11.80.0/21,NL
5.11.88.0/21,GB
5.11.96.0/19,IT
5.11.128.0/17,TR
5.12.0.0/14,RO
5.16.0.0/14,RU
5.20.0.0/16,LT
5.21.0.0/16,OM
5.22.0.0/17,IR
5.22.128.0/21,IL
5.22.136.0/21,GB
5.22.145.0/24,US
5.22.148.0/22,DE
5.22.152.0/24,CZ
5.22.153.0/24,RU
5.22.154.0/24,SK
5.22.155.0/24,US
5.22.157.0/24,UA
5.22.159.0/24,UA
5.22.160.0/19,RS
5.22.192.0/21,IR
5.22.204.0/22,NL
5.22.208.0/20,FI
5.22.224.0/21,GB
5.22.232.0/22,NO
5.22.240.0/21,DE
5.22.248.0/21,NL
5.23.0.0/21,US
5.23.12.0/22,ES
5.23.16.0/20,US
5.23.32.0/23,IT
5.23.39.0/24,CZ
5.23.40.0/21,FR
5.23.48.0/21,RU
5.23.56.0/21,FI
5.23.64.0/19,IS
5.23.96.0/20,RU
5.23.112.0/21,IR
5.23.120.0/21,TR
5.23.128.0/17,BE
5.24.0.0/15,TR
5.27.128.0/17,TR
5.28.0.0/21,HU
5.28.8.0/21,IT
5.28.16.0/20,RU
5.28.32.0/21,KH
5.28.40.0/21,DE
5.28.48.0/20,GB
5.28.64.0/18,DE
5.28.128.0/18,IL
5.29.0.0/16,IL
5.30.0.0/15,AE
5.32.43.128/25,US
5.32.44.0/22,AE
5.32.128.0/21,BG
5.32.136.0/21,SI
5.32.144.0/21,RU
5.32.152.0/21,GB
5.32.160.0/21,DE
5.32.168.0/21,MD
5.32.176.0/21,MK
5.32.184.0/22,DE
5.32.192.0/18,OM
5.33.0.0/16,DK
5.34.0.0/17,KZ
5.34.128.0/19,ES
5.34.160.0/24,PS
5.34.162.0/23,PS
5.34.176.0/22,US
5.34.180.0/22,UA
5.34.184.0/21,IT
5.34.224.0/21,DE
5.34.232.0/21,NL
5.34.240.0/21,US
5.34.248.0/21,LI
5.35.0.0/17,RU
5.35.160.0/21,GB
5.35.168.0/22,VG
5.35.176.0/21,NL
5.35.184.0/21,SE
5.35.200.0/21,ES
5.35.208.0/21,RO
5.35.216.0/22,ES
5.35.224.0/19,DE
5.36.0.0/15,OM
5.38.0.0/17,AE
5.38.128.0/17,HU
5.39.0.0/17,FR
5.39.128.0/19,HR
5.39.160.0/21,RU
5.39.168.0/21,NL
5.39.176.0/21,GB
5.39.184.0/21,NL
5.39.192.0/21,PL
5.39.200.0/22,CZ
5.39.204.0/22,AM
5.39.208.0/21,ES
5.39.216.0/21,NL
5.39.224.0/20,FR
5.39.240.0/21,DE
5.39.248.0/24,GB
5.39.249.0/24,US
5.39.250.0/23,GB
5.40.0.0/16,ES
5.41.0.0/16,SA
5.42.0.0/17,RU
5.42.128.0/21,GB
5.42.136.0/21,DE
5.42.144.0/21,IT
5.42.152.0/22,FR
5.42.156.0/23,DE
5.42.158.0/23,FR
5.42.160.0/21,SG
5.42.168.0/21,US
5.42.192.0/24,UA
5.42.193.0/24,FR
5.42.194.0/24,NL
5.42.195.0/24,UA
5.42.197.0/24,FR
5.42.198.0/24,RO
5.42.199.0/24,RU
5.42.200.0/24,FR
5.42.201.0/24,DE
5.42.202.0/24,TR
5.42.203.0/24,GB
5.42.206.0/24,LT
5.42.207.0/24,NL
5.42.208.0/24,LT
5.42.209.0/24,UA
5.42.211.0/24,RU
5.42.216.0/24,TR
5.42.218.0/24,GB
5.42.219.0/24,RU
5.42.223.0/24,IR
5.42.224.0/19,SA
5.43.0.0/18,PT
5.43.64.0/18,BA
5.43.128.0/19,RU
5.43.160.0/19,HR
5.43.192.0/19,PS
5.43.224.0/21,CZ
5.43.232.0/21,IT
5.43.240.0/21,RU
5.43.248.0/21,IT
5.44.0.0/20,RU
5.44.16.0/20,CA
5.44.32.0/21,AZ
5.44.40.0/22,RU
5.44.45.0/24,RU
5.44.46.0/23,US
5.44.48.0/20,RU
5.44.64.0/21,NO
5.44.72.0/21,NL
5.44.80.0/20,TR
5.44.96.0/20,DE
5.44.112.0/20,CH
5.44.128.0/21,GE
5.44.136.0/21,DK
